proname|args|rettype|provolatile|proleakproof
int42le|{int4,int2}|bool|i|t
int42lt|{int2,int4}|bool|i|t
int42mi|{int2,int4}|int4|i|f
int42mul|{int4,int2}|int4|i|f
int42ne|{int4,int2}|bool|i|t
int42pl|{int4,int2}|int4|i|f
int48div|{int4,int8}|int8|i|f
int48eq|{int4,int8}|bool|i|t
int48ge|{int4,int8}|bool|i|t
int48gt|{int4,int8}|bool|i|t
int48le|{int8,int4}|bool|i|t
int48lt|{int4,int8}|bool|i|t
int48mi|{int4,int8}|int8|i|f
int48mul|{int8,int4}|int8|i|f
int48ne|{int4,int8}|bool|i|t
int48pl|{int4,int8}|int8|i|f
int4_accum|{internal,int4}|internal|i|f
int4_accum_inv|{internal,int4}|internal|i|f
int4_avg_accum|{_int8,int4}|_int8|i|f
int4_avg_accum_inv|{_int8,int4}|_int8|i|f
int4_avg_combine|{_int8,_int8}|_int8|i|f
int4_mul_cash|{money,int4}|money|i|f
int4_sum|{int4,int8}|int8|i|f
int4abs|{int4}|int4|i|f
int4and|{int4,int4}|int4|i|f
int4div|{int4,int4}|int4|i|f
int4eq|{int4,int4}|bool|i|t
int4ge|{int4,int4}|bool|i|t
int4gt|{int4,int4}|bool|i|t
int4in|{cstring}|int4|i|f
int4inc|{int4}|int4|i|f
int4larger|{int4,int4}|int4|i|f
int4le|{int4,int4}|bool|i|t
int4lt|{int4,int4}|bool|i|t
int4mi|{int4,int4}|int4|i|f
int4mod|{int4,int4}|int4|i|f
int4mul|{int4,int4}|int4|i|f
int4ne|{int4,int4}|bool|i|t
int4not|{int4}|int4|i|f
int4or|{int4,int4}|int4|i|f
int4out|{int4}|cstring|i|f
int4pl|{int4,int4}|int4|i|f
int4range|{int4,int4}|int4range|i|f
int4range|{int4,text,int4}|int4range|i|f
int4range_canonical|{int4range}|int4range|i|f
int4range_subdiff|{int4,int4}|float8|i|f
int4recv|{internal}|int4|i|f
int4send|{int4}|bytea|i|f
int4shl|{int4,int4}|int4|i|f
int4shr|{int4,int4}|int4|i|f
int4smaller|{int4,int4}|int4|i|f
int4um|{int4}|int4|i|f
int4up|{int4}|int4|i|f
int4xor|{int4,int4}|int4|i|f
int8|{bit}|int8|i|f
int8|{float4}|int8|i|f
int8|{float8}|int8|i|f
int8|{int2}|int8|i|f
int8|{int4}|int8|i|f
int8|{jsonb}|int8|i|f
int8|{numeric}|int8|i|f
int8|{oid}|int8|i|f
int82div|{int8,int2}|int8|i|f
int82eq|{int2,int8}|bool|i|t
int82ge|{int2,int8}|bool|i|t
int82gt|{int8,int2}|bool|i|t
int82le|{int8,int2}|bool|i|t
int82lt|{int8,int2}|bool|i|t
int82mi|{int2,int8}|int8|i|f
int82mul|{int2,int8}|int8|i|f
int82ne|{int8,int2}|bool|i|t
int82pl|{int2,int8}|int8|i|f
int84div|{int4,int8}|int8|i|f
int84eq|{int8,int4}|bool|i|t
int84ge|{int8,int4}|bool|i|t
int84gt|{int8,int4}|bool|i|t
int84le|{int8,int4}|bool|i|t
int84lt|{int8,int4}|bool|i|t
int84mi|{int4,int8}|int8|i|f
int84mul|{int4,int8}|int8|i|f
int84ne|{int8,int4}|bool|i|t
int84pl|{int8,int4}|int8|i|f
int8_accum|{int8,internal}|internal|i|f
int8_accum_inv|{int8,internal}|internal|i|f
int8_avg|{_int8}|numeric|i|f
int8_avg_accum|{internal,int8}|internal|i|f
int8_avg_accum_inv|{int8,internal}|internal|i|f
int8_avg_combine|{internal,internal}|internal|i|f
int8_avg_deserialize|{bytea,internal}|internal|i|f
int8_avg_serialize|{internal}|bytea|i|f
int8_mul_cash|{money,int8}|money|i|f
int8_sum|{int8,numeric}|numeric|i|f
int8abs|{int8}|int8|i|f
int8and|{int8,int8}|int8|i|f
int8dec|{int8}|int8|i|f
int8dec_any|{int8,any}|int8|i|f
int8div|{int8,int8}|int8|i|f
int8eq|{int8,int8}|bool|i|t
int8ge|{int8,int8}|bool|i|t
int8gt|{int8,int8}|bool|i|t
int8in|{cstring}|int8|i|f
int8inc|{int8}|int8|i|f
int8inc_any|{int8,any}|int8|i|f
int8inc_float8_float8|{float8,float8,int8}|int8|i|f
int8larger|{int8,int8}|int8|i|f
int8le|{int8,int8}|bool|i|t
int8lt|{int8,int8}|bool|i|t
int8mi|{int8,int8}|int8|i|f
int8mod|{int8,int8}|int8|i|f
int8mul|{int8,int8}|int8|i|f
int8ne|{int8,int8}|bool|i|t
int8not|{int8}|int8|i|f
int8or|{int8,int8}|int8|i|f
int8out|{int8}|cstring|i|f
int8pl|{int8,int8}|int8|i|f
int8pl_inet|{int8,inet}|inet|i|f
int8range|{int8,int8}|int8range|i|f
int8range|{int8,text,int8}|int8range|i|f
int8range_canonical|{int8range}|int8range|i|f
int8range_subdiff|{int8,int8}|float8|i|f
int8recv|{internal}|int8|i|f
int8send|{int8}|bytea|i|f
int8shl|{int8,int4}|int8|i|f
int8shr|{int4,int8}|int8|i|f
int8smaller|{int8,int8}|int8|i|f
int8um|{int8}|int8|i|f
int8up|{int8}|int8|i|f
int8xor|{int8,int8}|int8|i|f
integer_pl_date|{date,int4}|date|i|f
inter_lb|{box,line}|bool|i|f
inter_sb|{box,lseg}|bool|i|f
inter_sl|{lseg,line}|bool|i|f
internal_in|{cstring}|internal|i|f
internal_out|{internal}|cstring|i|f
interval|{interval,int4}|interval|i|f
interval|{time}|interval|i|f
interval_accum|{interval,_interval}|_interval|i|f
interval_accum_inv|{_interval,interval}|_interval|i|f
interval_avg|{_interval}|interval|i|f
interval_cmp|{interval,interval}|int4|i|t
interval_combine|{_interval,_interval}|_interval|i|f
interval_div|{interval,float8}|interval|i|f
interval_eq|{interval,interval}|bool|i|t
interval_ge|{interval,interval}|bool|i|t
interval_gt|{interval,interval}|bool|i|t
interval_hash|{interval}|int4|i|f
interval_hash_extended|{int8,interval}|int8|i|f
interval_in|{int4,cstring,oid}|interval|s|f
interval_larger|{interval,interval}|interval|i|f
interval_le|{interval,interval}|bool|i|t
interval_lt|{interval,interval}|bool|i|t
interval_mi|{interval,interval}|interval|i|f
interval_mul|{interval,float8}|interval|i|f
interval_ne|{interval,interval}|bool|i|t
interval_out|{interval}|cstring|i|f
interval_pl|{interval,interval}|interval|i|f
interval_pl_date|{interval,date}|timestamp|i|f
interval_pl_time|{time,interval}|time|i|f
interval_pl_timestamp|{interval,timestamp}|timestamp|i|f
interval_pl_timestamptz|{timestamptz,interval}|timestamptz|s|f
interval_pl_timetz|{timetz,interval}|timetz|i|f
interval_recv|{oid,internal,int4}|interval|i|f
interval_send|{interval}|bytea|i|f
interval_smaller|{interval,interval}|interval|i|f
interval_support|{internal}|internal|i|f
interval_um|{interval}|interval|i|f
intervaltypmodin|{_cstring}|int4|i|f
intervaltypmodout|{int4}|cstring|i|f
is_contained_2d|{box2df,box2df}|bool|i|f
is_contained_2d|{geometry,box2df}|bool|i|f
is_contained_2d|{geometry,box2df}|bool|i|f
isclosed|{path}|bool|i|f
isempty|{anyrange}|bool|i|f
isfinite|{date}|bool|i|f
isfinite|{interval}|bool|i|f
isfinite|{timestamp}|bool|i|f
isfinite|{timestamptz}|bool|i|f
ishorizontal|{line}|bool|i|f
ishorizontal|{lseg}|bool|i|f
ishorizontal|{point,point}|bool|i|f
iso8859_1_to_utf8|{int4,internal,cstring,int4,int4}|void|i|f
iso8859_to_utf8|{int4,int4,int4,cstring,internal}|void|i|f
iso_to_koi8r|{int4,int4,internal,int4,cstring}|void|i|f
iso_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
iso_to_win1251|{int4,cstring,internal,int4,int4}|void|i|f
iso_to_win866|{int4,cstring,internal,int4,int4}|void|i|f
isopen|{path}|bool|i|f
isparallel|{line,line}|bool|i|f
isparallel|{lseg,lseg}|bool|i|f
isperp|{line,line}|bool|i|f
isperp|{lseg,lseg}|bool|i|f
isvertical|{line}|bool|i|f
isvertical|{lseg}|bool|i|f
isvertical|{point,point}|bool|i|f
johab_to_utf8|{int4,int4,int4,cstring,internal}|void|i|f
json|{geometry}|json|i|f
json_agg|{anyelement}|json|s|f
json_agg_finalfn|{internal}|json|i|f
json_agg_transfn|{anyelement,internal}|internal|s|f
json_array_element|{int4,json}|json|i|f
json_array_element_text|{json,int4}|text|i|f
json_array_elements|{json}|json|i|f
json_array_elements_text|{json}|text|i|f
json_array_length|{json}|int4|i|f
json_build_array|{any}|json|s|f
json_build_object|{any}|json|s|f
json_each|{json}|record|i|f
json_each_text|{json}|record|i|f
json_extract_path|{_text,json}|json|i|f
json_extract_path_text|{_text,json}|text|i|f
json_in|{cstring}|json|i|f
json_object|{_text}|json|i|f
json_object|{_text,_text}|json|i|f
json_object_agg|{any,any}|json|s|f
json_object_agg_finalfn|{internal}|json|i|f
json_object_agg_transfn|{any,any,internal}|internal|s|f
json_object_field|{json,text}|json|i|f
json_object_field_text|{text,json}|text|i|f
json_object_keys|{json}|text|i|f
json_out|{json}|cstring|i|f
json_populate_record|{anyelement,bool,json}|anyelement|s|f
json_populate_recordset|{json,anyelement,bool}|anyelement|s|f
json_recv|{internal}|json|i|f
json_send|{json}|bytea|i|f
json_strip_nulls|{json}|json|i|f
json_to_record|{json}|record|s|f
json_to_recordset|{json}|record|s|f
json_to_tsvector|{jsonb,json}|tsvector|s|f
json_to_tsvector|{jsonb,json,regconfig}|tsvector|i|f
json_typeof|{json}|text|i|f
jsonb|{geometry}|jsonb|i|f
jsonb_agg|{anyelement}|jsonb|s|f
jsonb_agg_finalfn|{internal}|jsonb|s|f
jsonb_agg_transfn|{anyelement,internal}|internal|s|f
jsonb_array_element|{jsonb,int4}|jsonb|i|f
jsonb_array_element_text|{jsonb,int4}|text|i|f
jsonb_array_elements|{jsonb}|jsonb|i|f
jsonb_array_elements_text|{jsonb}|text|i|f
jsonb_array_length|{jsonb}|int4|i|f
jsonb_build_array|{any}|jsonb|s|f
jsonb_build_object|{any}|jsonb|s|f
jsonb_cmp|{jsonb,jsonb}|int4|i|f
jsonb_concat|{jsonb,jsonb}|jsonb|i|f
jsonb_contained|{jsonb,jsonb}|bool|i|f
jsonb_contains|{jsonb,jsonb}|bool|i|f
jsonb_delete|{int4,jsonb}|jsonb|i|f
jsonb_delete|{jsonb,_text}|jsonb|i|f
jsonb_delete|{jsonb,text}|jsonb|i|f
jsonb_delete_path|{jsonb,_text}|jsonb|i|f
jsonb_each|{jsonb}|record|i|f
jsonb_each_text|{jsonb}|record|i|f
jsonb_eq|{jsonb,jsonb}|bool|i|f
jsonb_exists|{text,jsonb}|bool|i|f
jsonb_exists_all|{_text,jsonb}|bool|i|f
jsonb_exists_any|{jsonb,_text}|bool|i|f
jsonb_extract_path|{_text,jsonb}|jsonb|i|f
jsonb_extract_path_text|{jsonb,_text}|text|i|f
jsonb_ge|{jsonb,jsonb}|bool|i|f
jsonb_gt|{jsonb,jsonb}|bool|i|f
jsonb_hash|{jsonb}|int4|i|f
jsonb_hash_extended|{int8,jsonb}|int8|i|f
jsonb_in|{cstring}|jsonb|i|f
jsonb_insert|{_text,jsonb,jsonb,bool}|jsonb|i|f
jsonb_le|{jsonb,jsonb}|bool|i|f
jsonb_lt|{jsonb,jsonb}|bool|i|f
jsonb_ne|{jsonb,jsonb}|bool|i|f
jsonb_object|{_text}|jsonb|i|f
jsonb_object|{_text,_text}|jsonb|i|f
jsonb_object_agg|{any,any}|jsonb|i|f
jsonb_object_agg_finalfn|{internal}|jsonb|s|f
jsonb_object_agg_transfn|{internal,any,any}|internal|s|f
jsonb_object_field|{text,jsonb}|jsonb|i|f
jsonb_object_field_text|{jsonb,text}|text|i|f
jsonb_object_keys|{jsonb}|text|i|f
jsonb_out|{jsonb}|cstring|i|f
jsonb_path_exists|{jsonb,jsonpath,jsonb,bool}|bool|i|f
jsonb_path_exists_opr|{jsonb,jsonpath}|bool|i|f
jsonb_path_match|{jsonb,bool,jsonb,jsonpath}|bool|i|f
jsonb_path_match_opr|{jsonb,jsonpath}|bool|i|f
jsonb_path_query|{jsonpath,bool,jsonb,jsonb}|jsonb|i|f
jsonb_path_query_array|{bool,jsonb,jsonpath,jsonb}|jsonb|i|f
jsonb_path_query_first|{jsonb,jsonpath,jsonb,bool}|jsonb|i|f
jsonb_populate_record|{anyelement,jsonb}|anyelement|s|f
jsonb_populate_recordset|{anyelement,jsonb}|anyelement|s|f
jsonb_pretty|{jsonb}|text|i|f
jsonb_recv|{internal}|jsonb|i|f
jsonb_send|{jsonb}|bytea|i|f
jsonb_set|{jsonb,bool,jsonb,_text}|jsonb|i|f
jsonb_strip_nulls|{jsonb}|jsonb|i|f
jsonb_to_record|{jsonb}|record|s|f
jsonb_to_recordset|{jsonb}|record|s|f
jsonb_to_tsvector|{jsonb,jsonb}|tsvector|s|f
jsonb_to_tsvector|{jsonb,regconfig,jsonb}|tsvector|i|f
jsonb_typeof|{jsonb}|text|i|f
jsonpath_in|{cstring}|jsonpath|i|f
jsonpath_out|{jsonpath}|cstring|i|f
jsonpath_recv|{internal}|jsonpath|i|f
jsonpath_send|{jsonpath}|bytea|i|f
justify_days|{interval}|interval|i|f
justify_hours|{interval}|interval|i|f
justify_interval|{interval}|interval|i|f
koi8r_to_iso|{cstring,int4,int4,internal,int4}|void|i|f
koi8r_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
koi8r_to_utf8|{internal,int4,int4,cstring,int4}|void|i|f
koi8r_to_win1251|{int4,cstring,internal,int4,int4}|void|i|f
koi8r_to_win866|{int4,int4,cstring,internal,int4}|void|i|f
koi8u_to_utf8|{int4,cstring,internal,int4,int4}|void|i|f
lag|{anyelement}|anyelement|i|f
lag|{anyelement,int4}|anyelement|i|f
lag|{anyelement,int4,anyelement}|anyelement|i|f
language_handler_in|{cstring}|language_handler|i|f
language_handler_out|{language_handler}|cstring|i|f
last_value|{anyelement}|anyelement|i|f
latin1_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
latin2_to_mic|{int4,int4,internal,int4,cstring}|void|i|f
latin2_to_win1250|{int4,int4,cstring,internal,int4}|void|i|f
latin3_to_mic|{internal,int4,int4,cstring,int4}|void|i|f
latin4_to_mic|{int4,cstring,internal,int4,int4}|void|i|f
lead|{anyelement}|anyelement|i|f
lead|{anyelement,int4,anyelement}|anyelement|i|f
lead|{int4,anyelement}|anyelement|i|f
left|{int4,text}|text|i|f
length|{bit}|int4|i|f
length|{bpchar}|int4|i|f
length|{bytea}|int4|i|f
length|{bytea,name}|int4|s|f
length|{lseg}|float8|i|f
length|{path}|float8|i|f
length|{text}|int4|i|f
length|{tsvector}|int4|i|f
like|{bytea,bytea}|bool|i|f
like|{text,name}|bool|i|f
like|{text,text}|bool|i|f
like_escape|{bytea,bytea}|bytea|i|f
like_escape|{text,text}|text|i|f
likejoinsel|{internal,oid,internal,int2,internal}|float8|s|f
likesel|{oid,int4,internal,internal}|float8|s|f
line|{point,point}|line|i|f
line_distance|{line,line}|float8|i|f
line_eq|{line,line}|bool|i|f
line_horizontal|{line}|bool|i|f
line_in|{cstring}|line|i|f
line_interpt|{line,line}|point|i|f
line_intersect|{line,line}|bool|i|f
line_out|{line}|cstring|i|f
line_parallel|{line,line}|bool|i|f
line_perp|{line,line}|bool|i|f
line_recv|{internal}|line|i|f
line_send|{line}|bytea|i|f
line_vertical|{line}|bool|i|f
ln|{float8}|float8|i|f
ln|{numeric}|numeric|i|f
lo_close|{int4}|int4|v|f
lo_creat|{int4}|oid|v|f
lo_create|{oid}|oid|v|f
lo_export|{text,oid}|int4|v|f
lo_from_bytea|{bytea,oid}|oid|v|f
lo_get|{int8,int4,oid}|bytea|v|f
lo_get|{oid}|bytea|v|f
lo_import|{text}|oid|v|f
lo_import|{text,oid}|oid|v|f
lo_lseek|{int4,int4,int4}|int4|v|f
lo_lseek64|{int4,int8,int4}|int8|v|f
lo_open|{oid,int4}|int4|v|f
lo_put|{bytea,int8,oid}|void|v|f
lo_tell|{int4}|int4|v|f
lo_tell64|{int4}|int8|v|f
lo_truncate|{int4,int4}|int4|v|f
lo_truncate64|{int8,int4}|int4|v|f
lo_unlink|{oid}|int4|v|f
lockrow|{text,text,text}|int4|v|f
lockrow|{text,text,text,text}|int4|v|f
lockrow|{text,text,text,text,timestamp}|int4|v|f
lockrow|{text,text,text,timestamp}|int4|v|f
log|{float8}|float8|i|f
log|{numeric}|numeric|i|f
log|{numeric,numeric}|numeric|i|f
log10|{float8}|float8|i|f
log10|{numeric}|numeric|i|f
loread|{int4,int4}|bytea|v|f
lower|{anyrange}|anyelement|i|f
lower|{text}|text|i|f
lower_inc|{anyrange}|bool|i|f
lower_inf|{anyrange}|bool|i|f
lowrite|{int4,bytea}|int4|v|f
lpad|{int4,text}|text|i|f
lpad|{text,text,int4}|text|i|f
lseg|{box}|lseg|i|f
lseg|{point,point}|lseg|i|f
lseg_center|{lseg}|point|i|f
lseg_distance|{lseg,lseg}|float8|i|f
lseg_eq|{lseg,lseg}|bool|i|t
lseg_ge|{lseg,lseg}|bool|i|t
lseg_gt|{lseg,lseg}|bool|i|t
lseg_horizontal|{lseg}|bool|i|f
lseg_in|{cstring}|lseg|i|f
lseg_interpt|{lseg,lseg}|point|i|f
lseg_intersect|{lseg,lseg}|bool|i|f
lseg_le|{lseg,lseg}|bool|i|t
lseg_length|{lseg}|float8|i|f
lseg_lt|{lseg,lseg}|bool|i|t
lseg_ne|{lseg,lseg}|bool|i|t
lseg_out|{lseg}|cstring|i|f
lseg_parallel|{lseg,lseg}|bool|i|f
lseg_perp|{lseg,lseg}|bool|i|f
lseg_recv|{internal}|lseg|i|f
lseg_send|{lseg}|bytea|i|f
lseg_vertical|{lseg}|bool|i|f
ltrim|{text}|text|i|f
ltrim|{text,text}|text|i|f
macaddr|{macaddr8}|macaddr|i|f
macaddr8|{macaddr}|macaddr8|i|f
macaddr8_and|{macaddr8,macaddr8}|macaddr8|i|f
macaddr8_cmp|{macaddr8,macaddr8}|int4|i|t
macaddr8_eq|{macaddr8,macaddr8}|bool|i|t
macaddr8_ge|{macaddr8,macaddr8}|bool|i|t
macaddr8_gt|{macaddr8,macaddr8}|bool|i|t
macaddr8_in|{cstring}|macaddr8|i|f
macaddr8_le|{macaddr8,macaddr8}|bool|i|t
macaddr8_lt|{macaddr8,macaddr8}|bool|i|t
macaddr8_ne|{macaddr8,macaddr8}|bool|i|t
macaddr8_not|{macaddr8}|macaddr8|i|f
macaddr8_or|{macaddr8,macaddr8}|macaddr8|i|f
macaddr8_out|{macaddr8}|cstring|i|f
macaddr8_recv|{internal}|macaddr8|i|f
macaddr8_send|{macaddr8}|bytea|i|f
macaddr8_set7bit|{macaddr8}|macaddr8|i|f
macaddr_and|{macaddr,macaddr}|macaddr|i|f
macaddr_cmp|{macaddr,macaddr}|int4|i|t
macaddr_eq|{macaddr,macaddr}|bool|i|t
macaddr_ge|{macaddr,macaddr}|bool|i|t
macaddr_gt|{macaddr,macaddr}|bool|i|t
macaddr_in|{cstring}|macaddr|i|f
macaddr_le|{macaddr,macaddr}|bool|i|t
macaddr_lt|{macaddr,macaddr}|bool|i|t
macaddr_ne|{macaddr,macaddr}|bool|i|t
macaddr_not|{macaddr}|macaddr|i|f
macaddr_or|{macaddr,macaddr}|macaddr|i|f
macaddr_out|{macaddr}|cstring|i|f
macaddr_recv|{internal}|macaddr|i|f
macaddr_send|{macaddr}|bytea|i|f
macaddr_sortsupport|{internal}|void|i|f
make_date|{int4,int4,int4}|date|i|f
make_interval|{int4,int4,int4,int4,int4,int4,float8}|interval|i|f
make_time|{int4,int4,float8}|time|i|f
make_timestamp|{int4,int4,int4,int4,float8,int4}|timestamp|i|f
make_timestamptz|{float8,int4,text,int4,int4,int4,int4}|timestamptz|s|f
make_timestamptz|{int4,int4,float8,int4,int4,int4}|timestamptz|s|f
makeaclitem|{oid,oid,text,bool}|aclitem|i|f
masklen|{inet}|int4|i|f
max|{anyarray}|anyarray|i|f
max|{anyenum}|anyenum|i|f
max|{bpchar}|bpchar|i|f
max|{date}|date|i|f
max|{float4}|float4|i|f
max|{float8}|float8|i|f
max|{inet}|inet|i|f
max|{int2}|int2|i|f
max|{int4}|int4|i|f
max|{int8}|int8|i|f
max|{interval}|interval|i|f
max|{money}|money|i|f
max|{numeric}|numeric|i|f
max|{oid}|oid|i|f
max|{text}|text|i|f
max|{tid}|tid|i|f
max|{time}|time|i|f
max|{timestamp}|timestamp|i|f
max|{timestamptz}|timestamptz|i|f
max|{timetz}|timetz|i|f
md5|{bytea}|text|i|t
md5|{text}|text|i|t
mic_to_ascii|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_big5|{int4,int4,cstring,internal,int4}|void|i|f
mic_to_euc_cn|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_euc_jp|{int4,int4,internal,int4,cstring}|void|i|f
mic_to_euc_kr|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_euc_tw|{internal,cstring,int4,int4,int4}|void|i|f
mic_to_iso|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_koi8r|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_latin1|{int4,int4,internal,int4,cstring}|void|i|f
mic_to_latin2|{int4,internal,cstring,int4,int4}|void|i|f
mic_to_latin3|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_latin4|{int4,cstring,internal,int4,int4}|void|i|f
mic_to_sjis|{cstring,int4,int4,internal,int4}|void|i|f
mic_to_win1250|{int4,cstring,int4,int4,internal}|void|i|f
mic_to_win1251|{int4,cstring,int4,int4,internal}|void|i|f
mic_to_win866|{int4,int4,int4,cstring,internal}|void|i|f
min|{anyarray}|anyarray|i|f
min|{anyenum}|anyenum|i|f
min|{bpchar}|bpchar|i|f
min|{date}|date|i|f
min|{float4}|float4|i|f
min|{float8}|float8|i|f
min|{inet}|inet|i|f
min|{int2}|int2|i|f
min|{int4}|int4|i|f
min|{int8}|int8|i|f
min|{interval}|interval|i|f
min|{money}|money|i|f
min|{numeric}|numeric|i|f
min|{oid}|oid|i|f
min|{text}|text|i|f
min|{tid}|tid|i|f
min|{time}|time|i|f
min|{timestamp}|timestamp|i|f
min|{timestamptz}|timestamptz|i|f
min|{timetz}|timetz|i|f
mod|{int2,int2}|int2|i|f
mod|{int4,int4}|int4|i|f
mod|{int8,int8}|int8|i|f
mod|{numeric,numeric}|numeric|i|f
mode|{anyelement}|anyelement|i|f
mode_final|{anyelement,internal}|anyelement|i|f
money|{int4}|money|s|f
money|{int8}|money|s|f
money|{numeric}|money|s|f
mul_d_interval|{float8,interval}|interval|i|f
mxid_age|{xid}|int4|s|f
name|{bpchar}|name|i|f
name|{text}|name|i|f
name|{varchar}|name|i|f
nameconcatoid|{oid,name}|name|i|f
nameeq|{name,name}|bool|i|t
nameeqtext|{name,text}|bool|i|t
namege|{name,name}|bool|i|t
namegetext|{name,text}|bool|i|t
namegt|{name,name}|bool|i|t
namegttext|{text,name}|bool|i|t
nameiclike|{name,text}|bool|i|f
nameicnlike|{name,text}|bool|i|f
nameicregexeq|{name,text}|bool|i|f
nameicregexne|{name,text}|bool|i|f
namein|{cstring}|name|i|f
namele|{name,name}|bool|i|t
nameletext|{name,text}|bool|i|t
namelike|{name,text}|bool|i|f
namelt|{name,name}|bool|i|t
namelttext|{text,name}|bool|i|t
namene|{name,name}|bool|i|t
namenetext|{text,name}|bool|i|t
namenlike|{text,name}|bool|i|f
nameout|{name}|cstring|i|f
namerecv|{internal}|name|s|f
nameregexeq|{text,name}|bool|i|f
nameregexne|{name,text}|bool|i|f
namesend|{name}|bytea|s|f
neqjoinsel|{internal,int2,internal,internal,oid}|float8|s|f
neqsel|{int4,oid,internal,internal}|float8|s|f
netmask|{inet}|inet|i|f
network|{inet}|cidr|i|f
network_cmp|{inet,inet}|int4|i|t
network_eq|{inet,inet}|bool|i|t
network_ge|{inet,inet}|bool|i|t
network_gt|{inet,inet}|bool|i|t
network_larger|{inet,inet}|inet|i|f
network_le|{inet,inet}|bool|i|t
network_lt|{inet,inet}|bool|i|t
network_ne|{inet,inet}|bool|i|t
network_overlap|{inet,inet}|bool|i|f
network_smaller|{inet,inet}|inet|i|f
network_sub|{inet,inet}|bool|i|f
network_subeq|{inet,inet}|bool|i|f
network_subset_support|{internal}|internal|i|f
network_sup|{inet,inet}|bool|i|f
network_supeq|{inet,inet}|bool|i|f
networkjoinsel|{oid,internal,internal,internal,int2}|float8|s|f
networksel|{internal,oid,int4,internal}|float8|s|f
nextval|{regclass}|int8|v|f
nlikejoinsel|{oid,internal,int2,internal,internal}|float8|s|f
nlikesel|{internal,oid,internal,int4}|float8|s|f
notlike|{bytea,bytea}|bool|i|f
notlike|{name,text}|bool|i|f
notlike|{text,text}|bool|i|f
npoints|{path}|int4|i|f
npoints|{polygon}|int4|i|f
nth_value|{anyelement,int4}|anyelement|i|f
ntile|{int4}|int4|i|f
num_nonnulls|{any}|int4|i|f
num_nulls|{any}|int4|i|f
numeric|{float4}|numeric|i|f
numeric|{float8}|numeric|i|f
numeric|{int2}|numeric|i|f
numeric|{int4}|numeric|i|f
numeric|{int4,numeric}|numeric|i|f
numeric|{int8}|numeric|i|f
numeric|{jsonb}|numeric|i|f
numeric|{money}|numeric|s|f
numeric_abs|{numeric}|numeric|i|f
numeric_accum|{internal,numeric}|internal|i|f
numeric_accum_inv|{numeric,internal}|internal|i|f
numeric_add|{numeric,numeric}|numeric|i|f
numeric_avg|{internal}|numeric|i|f
numeric_avg_accum|{internal,numeric}|internal|i|f
numeric_avg_combine|{internal,internal}|internal|i|f
numeric_avg_deserialize|{bytea,internal}|internal|i|f
numeric_avg_serialize|{internal}|bytea|i|f
numeric_cmp|{numeric,numeric}|int4|i|f
numeric_combine|{internal,internal}|internal|i|f
numeric_deserialize|{bytea,internal}|internal|i|f
numeric_div|{numeric,numeric}|numeric|i|f
numeric_div_trunc|{numeric,numeric}|numeric|i|f
numeric_eq|{numeric,numeric}|bool|i|f
numeric_exp|{numeric}|numeric|i|f
numeric_fac|{int8}|numeric|i|f
numeric_ge|{numeric,numeric}|bool|i|f
numeric_gt|{numeric,numeric}|bool|i|f
numeric_in|{oid,int4,cstring}|numeric|i|f
numeric_inc|{numeric}|numeric|i|f
numeric_larger|{numeric,numeric}|numeric|i|f
numeric_le|{numeric,numeric}|bool|i|f
numeric_ln|{numeric}|numeric|i|f
numeric_log|{numeric,numeric}|numeric|i|f
numeric_lt|{numeric,numeric}|bool|i|f
numeric_mod|{numeric,numeric}|numeric|i|f
numeric_mul|{numeric,numeric}|numeric|i|f
numeric_ne|{numeric,numeric}|bool|i|f
numeric_out|{numeric}|cstring|i|f
numeric_poly_avg|{internal}|numeric|i|f
numeric_poly_combine|{internal,internal}|internal|i|f
numeric_poly_deserialize|{bytea,internal}|internal|i|f
numeric_poly_serialize|{internal}|bytea|i|f
numeric_poly_stddev_pop|{internal}|numeric|i|f
numeric_poly_stddev_samp|{internal}|numeric|i|f
numeric_poly_sum|{internal}|numeric|i|f
numeric_poly_var_pop|{internal}|numeric|i|f
numeric_poly_var_samp|{internal}|numeric|i|f
numeric_power|{numeric,numeric}|numeric|i|f
numeric_recv|{internal,oid,int4}|numeric|i|f
numeric_send|{numeric}|bytea|i|f
numeric_serialize|{internal}|bytea|i|f
numeric_smaller|{numeric,numeric}|numeric|i|f
numeric_sortsupport|{internal}|void|i|f
numeric_sqrt|{numeric}|numeric|i|f
numeric_stddev_pop|{internal}|numeric|i|f
numeric_stddev_samp|{internal}|numeric|i|f
numeric_sub|{numeric,numeric}|numeric|i|f
numeric_sum|{internal}|numeric|i|f
numeric_support|{internal}|internal|i|f
numeric_uminus|{numeric}|numeric|i|f
numeric_uplus|{numeric}|numeric|i|f
numeric_var_pop|{internal}|numeric|i|f
numeric_var_samp|{internal}|numeric|i|f
numerictypmodin|{_cstring}|int4|i|f
